index,Job Title,Salary in $,Rating,Company Name,Location,State,Size,Founded,Type of ownership,Industry,Sector,Revenue,,Competitors,Hourly,Employer provided,Lower Salary,Upper Salary,Avg Salary(K),company_txt,Job Location,Age,Python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,job_title_sim,seniority_by_title,Degree
0,Data Scientist,72000,3.8,Tecolote Research,Albuquerque, NM,750.5,1973,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),,-1,0,0,53,91,72,Tecolote Research,NM,48,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,data scientist,na,M
1,Healthcare Data Scientist,87500,3.4,University of Maryland Medical System,Linthicum, MD,10000,1984,Other Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),,-1,0,0,63,112,87.5,University of Maryland Medical System,MD,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
2,Data Scientist,85000,4.8,KnowBe,Clearwater, FL,750.5,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),,-1,0,0,80,90,85,KnowBe4,FL,11,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
3,Data Scientist,76500,3.8,PNNL,Richland, WA,3000.5,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),,"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,56,97,76.5,PNNL,WA,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
4,Data Scientist,114500,2.9,Affinity Solutions,New York, NY,125.5,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,,"Commerce Signals, Cardlytics, Yodlee",0,0,86,143,114.5,Affinity Solutions,NY,23,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
5,Data Scientist,95000,3.4,CyrusOne,Dallas, TX,350.5,2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),,"Digital Realty, CoreSite, Equinix",0,0,71,119,95,CyrusOne,TX,21,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,data scientist,na,na
6,Data Scientist,73500,4.1,ClearOne Advantage,Baltimore, MD,750.5,2008,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,,-1,0,0,54,93,73.5,ClearOne Advantage,MD,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
7,Data Scientist,114000,3.8,Logic,San Jose, CA,350.5,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),,-1,0,0,86,142,114,Logic20/20,CA,16,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,data scientist,na,M
8,Research Scientist,61000,3.3,Rochester Regional Health,Rochester, NY,10000,2014,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),,-1,0,0,38,84,61,Rochester Regional Health,NY,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,P
9,Data Scientist,140000,4.6,<intent,New York, NY,125.5,2009,Company - Private,Internet,Information Technology,$100 to $500 million (USD),,"Clicktripz, SmarterTravel",0,0,120,160,140,<intent>,NY,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
10,Data Scientist,163500,3.5,Wish,San Jose, CA,750.5,2011,Company - Private,Other Retail Stores,Retail,$1 to $2 billion (USD),,-1,0,0,126,201,163.5,Wish,CA,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
11,Data Scientist,85000,4.1,ManTech,Chantilly, VA,7500.5,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),,-1,0,0,64,106,85,ManTech,VA,53,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,na,na
12,Staff Data Scientist - Technology,139000,3.2,Walmart,Plano, TX,10000,1962,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),,"Target, Costco Wholesale, Amazon",0,0,106,172,139,Walmart,TX,59,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,na,M
13,Data Analyst,65500,4.1,Yesler,Seattle, WA,350.5,2012,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,,-1,0,0,46,85,65.5,Yesler,WA,9,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,analyst,na,na
14,Data Scientist,113500,3.7,Takeda Pharmaceuticals,Cambridge, MA,10000,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),,"Novartis, Baxter, Pfizer",0,0,83,144,113.5,Takeda Pharmaceuticals,MA,240,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,data scientist,na,M
15,Data Engineer I,146000,3.6,Audible,Newark, NJ,3000.5,1995,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,Unknown / Non-Applicable,,-1,0,0,102,190,146,Audible,NJ,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data engineer,na,na
16,"Scientist I/II, Biology",102000,3.9,Blueprint Medicines,Cambridge, MA,125.5,2011,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),,"bluebird bio, Agios Pharmaceuticals, Celgene",0,0,67,137,102,Blueprint Medicines,MA,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,P
17,Customer Data Scientist,153500,4.3,h2o.ai,Mountain View, CA,350.5,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,,-1,0,0,118,189,153.5,h2o.ai,CA,10,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,data scientist,na,M
18,Data Scientist - Health Data Analytics,142500,4.2,Nuna,San Francisco, CA,125.5,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,,-1,0,0,110,175,142.5,Nuna,CA,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
19,Data Scientist,87500,4,Pinnacol Assurance,Denver, CO,750.5,1915,Nonprofit Organization,Insurance Carriers,Insurance,$500 million to $1 billion (USD),,-1,0,0,64,111,87.5,Pinnacol Assurance,CO,106,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,data scientist,na,M
20,Data Scientist,105500,3.2,Porch,Seattle, WA,350.5,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,,"Angie's List, HomeAdvisor, Thumbtack",0,0,81,130,105.5,Porch,WA,9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
21,Senior Data Scientist / Machine Learning,96000,3.9,Health IQ,Dallas, TX,350.5,2013,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,,-1,0,0,73,119,96,Health IQ,TX,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,sr,P
22,Data Scientist - Quantitative,112500,3.8,Truckstop.com,Chicago, IL,750.5,1995,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,,-1,0,0,86,139,112.5,Truckstop.com,IL,26,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,data scientist,na,M
23,Data Scientist,84000,4.3,SMC,Louisville, KY,125.5,1935,Nonprofit Organization,Logistics & Supply Chain,Transportation & Logistics,$10 to $25 million (USD),,-1,0,0,63,105,84,SMC 3,KY,86,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,data scientist,na,M
25,Data Scientist,143000,4,Novetta,Herndon, VA,750.5,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),,"Leidos, CACI International, Booz Allen Hamilton",0,0,109,177,143,Novetta,VA,9,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,data scientist,na,na
26,Digital Health Data Scientist,86500,4,Pfizer,Cambridge, MA,10000,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),,-1,0,0,63,110,86.5,Pfizer,MA,172,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
27,Data Scientist,99500,3.5,First Tech Federal Credit Union,Hillsboro, OR,3000.5,1952,Company - Private,Banks & Credit Unions,Finance,$100 to $500 million (USD),,-1,0,0,75,124,99.5,First Tech Federal Credit Union,OR,69,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,data scientist,na,na
28,Associate Data Analyst,47500,3.7,The Hanover Insurance Group,Worcester, MA,7500.5,1852,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),,-1,0,0,34,61,47.5,The Hanover Insurance Group,MA,169,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,analyst,na,na
29,Clinical Data Scientist,84000,4,Pfizer,Groton, CT,10000,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),,-1,0,0,63,105,84,Pfizer,CT,172,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
30,Data Scientist,85000,4.8,KnowBe,Clearwater, FL,5250.5,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),,-1,0,0,80,90,85,KnowBe4,FL,11,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
31,Data Scientist,76500,3.8,PNNL,Richland, WA,3000.5,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),,"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,56,97,76.5,PNNL,WA,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
32,Data Scientist,96000,3.6,Amrock,Detroit, MI,3000.5,1997,Company - Private,Real Estate,Real Estate,$500 million to $1 billion (USD),,-1,0,0,72,120,96,Amrock,MI,24,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
33,Data Scientist / Machine Learning Expert,114500,3.8,Novartis,Cambridge, MA,10000,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),,-1,0,0,86,143,114.5,Novartis,MA,25,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,data scientist,na,na
34,Data Scientist,121000,3.8,Juniper Networks,Sunnyvale, CA,7500.5,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),,-1,0,0,93,149,121,Juniper Networks,CA,25,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,data scientist,na,M
